customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TenureSegment,MonthlyChargesSegment,ContractSegment,LTV,HighRiskHighValue
108,1,1,0,0,30,1,0,0,2,2,0,0,2,2,0,1,2,74.75,1741,0,24-48 mois,60-90$,Month-to-Month,2242.5,False
2725,0,0,1,1,45,1,2,2,1,1,1,1,1,1,1,1,1,25.9,396,0,24-48 mois,0-30$,One Year,1165.5,False
4181,0,0,0,1,1,1,0,1,0,0,0,0,2,0,0,1,2,79.35,5965,1,0-12 mois,60-90$,Month-to-Month,79.35,False
5755,0,0,1,1,11,0,1,0,2,0,0,0,2,2,0,0,2,50.55,4675,0,0-12 mois,30-60$,Month-to-Month,556.05,False
6477,0,0,1,0,7,1,0,1,0,0,2,0,0,0,0,1,0,75.15,4198,1,0-12 mois,60-90$,Month-to-Month,526.0500000000001,False
6978,0,0,0,0,42,1,0,1,0,2,2,2,2,2,0,1,0,103.8,3681,0,24-48 mois,90+$,Month-to-Month,4359.599999999999,False
202,0,0,1,0,49,1,0,2,1,1,1,1,1,1,2,1,0,20.15,6490,0,48-72 mois,0-30$,Two Year,987.3499999999999,False
3092,1,0,0,0,9,1,2,1,0,2,0,0,2,2,0,1,1,99.3,6363,0,0-12 mois,90+$,Month-to-Month,893.6999999999999,False
3367,0,0,1,0,35,1,0,0,2,0,0,0,2,0,1,1,0,62.15,1851,0,24-48 mois,60-90$,One Year,2175.25,False
1257,0,0,1,1,48,1,0,2,1,1,1,1,1,1,2,0,0,20.65,107,0,24-48 mois,0-30$,Two Year,991.1999999999999,False
1917,0,0,1,1,46,1,0,2,1,1,1,1,1,1,2,1,3,19.95,6381,0,24-48 mois,0-30$,Two Year,917.6999999999999,False
2099,1,0,1,0,29,0,1,0,0,0,0,0,2,0,0,0,3,33.75,18,0,24-48 mois,30-60$,Month-to-Month,978.75,False
3336,1,0,1,1,30,1,0,1,0,2,2,0,0,0,0,0,0,82.05,2228,0,24-48 mois,60-90$,Month-to-Month,2461.5,False
1662,1,1,0,0,1,1,0,1,0,0,0,2,0,0,0,0,2,74.7,5722,0,0-12 mois,60-90$,Month-to-Month,74.7,False
5127,1,0,1,1,66,1,2,0,2,0,2,2,2,2,2,1,3,84.0,4716,0,48-72 mois,60-90$,Two Year,5544.0,False
4295,0,0,0,0,65,1,2,1,2,2,2,0,2,2,0,1,1,111.05,5574,0,48-72 mois,90+$,Month-to-Month,7218.25,False
6934,1,0,0,0,72,1,2,1,0,2,2,0,2,2,2,1,0,100.9,5750,0,48-72 mois,90+$,Two Year,7264.8,False
6088,0,0,0,0,12,1,2,1,2,0,0,0,0,0,0,1,2,78.95,6383,1,0-12 mois,60-90$,Month-to-Month,947.4000000000001,False
6897,1,0,1,1,71,1,2,0,2,2,0,2,0,0,1,1,1,66.85,4017,0,48-72 mois,60-90$,One Year,4746.349999999999,False
173,1,0,0,0,5,1,0,2,1,1,1,1,1,1,0,0,3,21.05,251,1,0-12 mois,0-30$,Month-to-Month,105.25,False
2244,1,0,0,0,52,1,0,2,1,1,1,1,1,1,2,0,0,21.0,202,0,48-72 mois,0-30$,Two Year,1092.0,False
3199,0,1,1,0,25,1,0,1,0,2,2,0,2,2,0,1,2,98.5,2174,1,24-48 mois,90+$,Month-to-Month,2462.5,False
4520,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.2,1609,0,0-12 mois,0-30$,Month-to-Month,20.2,False
2569,0,0,1,1,1,1,0,2,1,1,1,1,1,1,0,0,2,19.45,1482,0,0-12 mois,0-30$,Month-to-Month,19.45,False
5054,1,0,0,0,38,1,2,1,0,0,2,2,2,0,1,0,0,95.0,3121,0,24-48 mois,90+$,One Year,3610.0,False
3826,0,1,1,0,66,0,1,0,0,2,2,0,2,0,1,0,0,45.55,2629,0,48-72 mois,30-60$,One Year,3006.2999999999997,False
2228,1,0,1,0,68,1,2,1,0,2,2,2,2,2,2,1,0,110.0,5832,1,48-72 mois,90+$,Two Year,7480.0,True
4376,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,3,24.3,0,0,0-12 mois,0-30$,Month-to-Month,121.5,False
4772,0,0,1,1,72,1,2,1,2,2,0,0,2,2,1,1,2,104.15,5671,0,48-72 mois,90+$,One Year,7498.8,False
6852,0,0,0,0,32,0,1,0,2,0,0,0,0,0,1,0,3,30.15,6384,0,24-48 mois,30-60$,One Year,964.8,False
6056,1,0,0,0,43,1,2,1,0,0,0,0,2,2,1,0,3,94.35,3357,0,24-48 mois,90+$,One Year,4057.0499999999997,False
1965,1,0,1,1,72,1,0,2,1,1,1,1,1,1,2,0,1,19.4,657,0,48-72 mois,0-30$,Two Year,1396.8,False
327,1,0,1,0,55,1,2,1,2,2,0,0,2,0,0,1,2,96.75,4390,1,48-72 mois,90+$,Month-to-Month,5321.25,True
3164,0,0,0,0,52,1,0,0,2,0,2,2,0,0,1,0,1,57.95,2641,0,48-72 mois,30-60$,One Year,3013.4,False
4045,0,0,0,0,43,1,0,1,0,2,2,0,2,0,0,1,2,91.65,3379,0,24-48 mois,90+$,Month-to-Month,3940.9500000000003,False
3410,0,1,1,0,37,1,2,1,0,0,0,0,0,0,0,1,2,76.5,2474,1,24-48 mois,60-90$,Month-to-Month,2830.5,False
3726,0,0,1,1,64,0,1,0,0,2,0,2,2,2,2,1,2,54.6,2966,0,48-72 mois,30-60$,Two Year,3494.4,False
2138,1,0,1,1,3,1,0,1,2,2,0,0,2,0,0,0,2,89.85,2127,0,0-12 mois,60-90$,Month-to-Month,269.54999999999995,False
6721,0,0,0,0,36,0,1,0,2,0,0,0,0,0,2,0,0,31.05,239,0,24-48 mois,30-60$,Two Year,1117.8,False
3754,0,0,1,1,10,1,2,1,2,0,0,0,2,2,0,1,2,100.25,123,1,0-12 mois,90+$,Month-to-Month,1002.5,False
5950,0,0,0,0,41,1,0,2,1,1,1,1,1,1,2,0,3,20.65,6159,0,24-48 mois,0-30$,Two Year,846.65,False
6633,1,0,1,1,27,1,2,1,0,2,0,2,0,0,0,1,1,85.2,1768,0,24-48 mois,60-90$,Month-to-Month,2300.4,False
745,0,0,1,1,56,1,2,1,0,0,2,0,2,2,1,1,1,99.8,4580,0,48-72 mois,90+$,One Year,5588.8,False
2028,0,0,0,0,6,1,0,2,1,1,1,1,1,1,0,0,3,20.7,229,0,0-12 mois,0-30$,Month-to-Month,124.19999999999999,False
274,1,0,0,0,3,1,2,1,0,0,0,0,0,0,0,1,2,74.4,1930,1,0-12 mois,60-90$,Month-to-Month,223.20000000000002,False
4597,0,0,1,1,7,1,0,0,2,0,0,0,0,0,0,0,3,50.7,3038,0,0-12 mois,30-60$,Month-to-Month,354.90000000000003,False
5120,0,0,1,1,4,1,0,2,1,1,1,1,1,1,0,0,3,20.85,5042,0,0-12 mois,0-30$,Month-to-Month,83.4,False
3213,1,0,0,0,33,1,0,1,2,0,0,2,2,0,2,1,2,88.95,2631,0,24-48 mois,60-90$,Two Year,2935.35,False
3071,0,1,0,0,27,1,2,1,0,0,2,0,0,0,0,1,2,78.05,1754,1,24-48 mois,60-90$,Month-to-Month,2107.35,False
4784,1,0,1,0,72,1,2,2,1,1,1,1,1,1,2,1,0,23.55,1227,0,48-72 mois,0-30$,Two Year,1695.6000000000001,False
2754,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,19.75,1488,0,0-12 mois,0-30$,Month-to-Month,19.75,False
1806,1,1,0,0,71,0,1,0,2,2,0,0,2,2,1,1,2,56.45,3402,0,48-72 mois,30-60$,One Year,4007.9500000000003,False
1986,0,0,0,0,13,1,2,1,0,0,0,0,0,2,0,1,2,85.95,393,0,12-24 mois,60-90$,Month-to-Month,1117.3500000000001,False
4393,0,0,1,1,25,0,1,0,2,2,2,0,2,2,0,1,1,58.6,911,1,24-48 mois,30-60$,Month-to-Month,1465.0,False
6047,1,0,0,0,67,1,0,0,0,0,0,2,0,0,2,0,0,50.55,2836,0,48-72 mois,30-60$,Two Year,3386.85,False
2154,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,2,35.45,3031,1,0-12 mois,30-60$,Month-to-Month,35.45,False
1631,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,44.35,6057,1,0-12 mois,30-60$,Month-to-Month,88.7,False
5528,0,0,0,0,43,1,2,2,1,1,1,1,1,1,2,1,1,25.7,347,0,24-48 mois,0-30$,Two Year,1105.1,False
5559,0,0,0,0,23,1,0,1,2,0,0,0,0,0,0,1,0,75.0,1303,0,12-24 mois,60-90$,Month-to-Month,1725.0,False
2650,0,0,1,1,64,1,0,2,1,1,1,1,1,1,2,0,3,20.2,509,0,48-72 mois,0-30$,Two Year,1292.8,False
4400,1,0,0,1,57,1,0,2,1,1,1,1,1,1,2,1,3,19.6,318,0,48-72 mois,0-30$,Two Year,1117.2,False
262,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,3,70.45,5509,1,0-12 mois,60-90$,Month-to-Month,70.45,False
2192,0,1,1,1,72,1,2,0,2,2,2,2,2,2,2,1,1,88.05,5172,0,48-72 mois,60-90$,Two Year,6339.599999999999,False
2856,0,0,0,0,8,1,2,0,2,0,0,2,0,2,0,0,2,71.15,4663,1,0-12 mois,60-90$,Month-to-Month,569.2,False
751,0,0,1,0,61,1,2,1,0,2,0,0,2,2,2,1,0,101.05,4893,0,48-72 mois,90+$,Two Year,6164.05,False
1804,1,0,0,0,64,1,2,1,2,2,0,0,0,0,1,1,1,84.3,4418,0,48-72 mois,60-90$,One Year,5395.2,False
775,1,1,1,0,71,1,2,2,1,1,1,1,1,1,2,0,0,23.95,1277,0,48-72 mois,0-30$,Two Year,1700.45,False
4048,0,0,1,1,65,1,2,1,2,2,0,2,2,0,2,1,1,99.05,5167,0,48-72 mois,90+$,Two Year,6438.25,False
4838,1,0,0,0,3,1,0,2,1,1,1,1,1,1,1,0,3,19.6,4982,0,0-12 mois,0-30$,One Year,58.800000000000004,False
1445,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,45.65,3820,1,0-12 mois,30-60$,Month-to-Month,45.65,False
4561,1,0,0,1,30,1,0,0,0,2,2,0,2,0,1,0,1,64.5,1527,0,24-48 mois,60-90$,One Year,1935.0,False
2414,1,0,1,1,15,1,0,0,0,2,2,2,0,2,0,1,3,69.5,140,0,12-24 mois,60-90$,Month-to-Month,1042.5,False
2656,0,0,1,1,8,1,0,0,0,0,0,2,2,2,0,1,2,68.55,4668,0,0-12 mois,60-90$,Month-to-Month,548.4,False
2718,1,0,0,0,7,1,2,1,0,0,0,0,2,2,0,0,3,95.0,5235,1,0-12 mois,90+$,Month-to-Month,665.0,False
1139,0,0,1,1,70,1,2,1,2,2,2,0,2,2,1,1,1,108.15,5987,0,48-72 mois,90+$,One Year,7570.5,False
6397,1,0,1,1,62,1,0,0,2,2,2,2,2,2,2,0,2,86.1,4369,0,48-72 mois,60-90$,Two Year,5338.2,False
2140,0,0,1,1,6,1,0,2,1,1,1,1,1,1,0,0,3,19.7,249,0,0-12 mois,0-30$,Month-to-Month,118.19999999999999,False
4633,0,0,1,1,14,1,0,1,0,0,0,0,0,2,0,1,0,80.9,289,0,12-24 mois,60-90$,Month-to-Month,1132.6000000000001,False
6461,0,0,0,0,22,1,2,1,0,0,0,0,2,0,0,1,0,84.15,1377,0,12-24 mois,60-90$,Month-to-Month,1851.3000000000002,False
1891,1,0,1,1,22,1,0,2,1,1,1,1,1,1,1,0,3,20.15,3582,0,12-24 mois,0-30$,One Year,443.29999999999995,False
4512,1,0,1,1,16,1,0,0,2,0,2,0,2,0,2,0,3,64.25,50,0,12-24 mois,60-90$,Two Year,1028.0,False
5339,1,0,0,0,10,1,2,2,1,1,1,1,1,1,2,0,0,25.7,2165,0,0-12 mois,0-30$,Two Year,257.0,False
6342,0,0,0,1,13,1,0,0,2,2,0,0,0,0,0,1,2,56.0,5844,0,12-24 mois,30-60$,Month-to-Month,728.0,False
589,0,0,1,0,20,1,2,1,2,0,0,0,0,0,0,0,2,82.4,1046,1,12-24 mois,60-90$,Month-to-Month,1648.0,False
3115,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,69.7,638,0,0-12 mois,60-90$,Month-to-Month,139.4,False
3241,1,0,0,0,53,1,2,0,0,2,2,2,0,2,2,1,0,73.9,3382,0,48-72 mois,60-90$,Two Year,3916.7000000000003,False
2012,0,0,1,1,11,1,0,2,1,1,1,1,1,1,1,0,3,20.6,1965,0,0-12 mois,0-30$,One Year,226.60000000000002,False
4488,1,0,1,0,69,1,0,2,1,1,1,1,1,1,2,0,3,19.9,658,0,48-72 mois,0-30$,Two Year,1373.1,False
2353,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,1,0,70.9,2372,1,0-12 mois,60-90$,Month-to-Month,283.6,False
4249,1,0,1,0,72,1,2,0,2,2,2,2,2,2,2,1,0,89.05,5070,0,48-72 mois,60-90$,Two Year,6411.599999999999,False
2400,1,1,1,0,58,0,1,0,0,2,2,0,0,2,0,1,2,45.3,2299,1,48-72 mois,30-60$,Month-to-Month,2627.3999999999996,False
794,0,0,1,1,16,1,0,2,1,1,1,1,1,1,0,0,2,20.4,2789,0,12-24 mois,0-30$,Month-to-Month,326.4,False
5426,1,0,1,0,43,1,0,1,2,0,2,2,0,0,1,1,0,84.25,3063,0,24-48 mois,60-90$,One Year,3622.75,False
1268,0,0,1,0,2,1,2,1,0,0,2,2,2,2,0,1,2,104.4,2065,1,0-12 mois,90+$,Month-to-Month,208.8,False
4770,1,0,1,0,14,1,0,0,0,2,2,2,2,2,2,0,3,81.95,338,0,12-24 mois,60-90$,Two Year,1147.3,False
475,0,0,1,0,53,1,0,1,0,0,2,0,2,2,1,1,0,94.85,4238,1,48-72 mois,90+$,One Year,5027.049999999999,True
4180,0,0,0,0,32,1,0,2,1,1,1,1,1,1,1,0,0,20.55,5229,0,24-48 mois,0-30$,One Year,657.6,False
1184,0,0,1,0,34,1,2,2,1,1,1,1,1,1,0,0,2,24.7,5916,0,24-48 mois,0-30$,Month-to-Month,839.8,False
1816,0,1,0,0,15,1,2,1,0,0,0,0,0,0,0,1,3,74.45,276,1,12-24 mois,60-90$,Month-to-Month,1116.75,False
1397,0,1,0,0,7,1,0,1,2,0,0,0,0,0,0,0,0,76.45,4259,1,0-12 mois,60-90$,Month-to-Month,535.15,False
4201,0,0,1,1,15,1,2,1,0,2,2,0,2,2,0,1,0,105.35,1000,0,12-24 mois,90+$,Month-to-Month,1580.25,False
2591,1,0,1,0,61,1,0,2,1,1,1,1,1,1,1,1,1,20.55,458,0,48-72 mois,0-30$,One Year,1253.55,False
4466,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,29.95,2506,1,0-12 mois,0-30$,Month-to-Month,29.95,False
4653,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,45.3,3815,0,0-12 mois,30-60$,Month-to-Month,45.3,False
6581,1,0,0,0,8,1,2,1,0,0,0,0,0,2,0,0,0,84.5,5277,1,0-12 mois,60-90$,Month-to-Month,676.0,False
3917,1,0,1,1,33,1,0,0,2,0,2,0,2,2,1,0,1,74.75,2103,0,24-48 mois,60-90$,One Year,2466.75,False
1287,0,0,0,0,13,1,0,1,0,2,2,0,0,0,0,1,2,79.25,215,1,12-24 mois,60-90$,Month-to-Month,1030.25,False
692,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2,24.8,2043,1,0-12 mois,0-30$,Month-to-Month,24.8,False
3396,1,0,0,0,20,1,0,0,0,2,0,0,0,0,0,1,3,51.8,47,0,12-24 mois,30-60$,Month-to-Month,1036.0,False
5791,1,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,2,30.4,6098,0,0-12 mois,30-60$,Month-to-Month,91.19999999999999,False
653,0,0,0,0,13,1,0,2,1,1,1,1,1,1,1,0,2,19.65,2089,0,12-24 mois,0-30$,One Year,255.45,False
5680,0,0,1,0,40,1,2,0,0,2,0,0,0,0,0,0,1,56.6,2014,0,24-48 mois,30-60$,Month-to-Month,2264.0,False
5037,1,0,1,1,43,1,2,0,2,0,0,2,0,2,1,1,1,71.9,2756,0,24-48 mois,60-90$,One Year,3091.7000000000003,False
